USA, Gregg Berthanlter
BRASIL,  Dorival Junior
COLOMBIA, Nestor lorenzo
PERU, Jorge fossati
QATAR, Felix Sanchez 
ECUADOR, Gustavo Alfaro
SENEGAL, Aliou Cisse
PAISES BAJOS, Ronald Koeman
INGLATERRA, Gareth Southgaate
IR IRAN, Amir Ghalenoei
GALES, Rob Page 
ARGENTINA, Lionel Scaloni
ARABIA SAUDITA, Lluis Cortes
MEXICO, Diego Cocca
POLONIA, Michael Probierz
FRANCIA, Didier Deschamps
AUSTRALIA, Graham Arnold 
DINAMARCA, Kasper Hijulmand
TUNEZ, Jalel Kadri
SPANA, Luis de la Fuente castillo
COSTA RICA, Luis Fernando Suarez
ALEMANIA, Julian Nagelsmann
JAPON, Hajime Moriyasu
BELGICA, Domenico Tedesco
CANADA, John Herdman
MARRUECOS, Walid Regragui
CROACIA, Zlatko Dalic
SERBIA, Dragan Stojkovic 
SUIZA, Murat Yakin
CAMERUN, Rigobert Song,
PORTUGAL, Roberto Martinez
GHANA, Nora Hauptle
